Downloaded from wid.world on 20-11-2025 at 01:32:27
Country ;Percentile ;"ghweal_999_j_2009
Net personal wealth
Total population | Gini coefficient | all ages | equal split
2009";"ghweal_999_j_2010
Net personal wealth
Total population | Gini coefficient | all ages | equal split
2010";"ghweal_999_j_2011
Net personal wealth
Total population | Gini coefficient | all ages | equal split
2011";"ghweal_999_j_2012
Net personal wealth
Total population | Gini coefficient | all ages | equal split
2012";"ghweal_999_j_2013
Net personal wealth
Total population | Gini coefficient | all ages | equal split
2013";"ghweal_999_j_2014
Net personal wealth
Total population | Gini coefficient | all ages | equal split
2014";"ghweal_999_j_2015
Net personal wealth
Total population | Gini coefficient | all ages | equal split
2015";"ghweal_999_j_2016
Net personal wealth
Total population | Gini coefficient | all ages | equal split
2016";"ghweal_999_j_2017
Net personal wealth
Total population | Gini coefficient | all ages | equal split
2017";"ghweal_999_j_2018
Net personal wealth
Total population | Gini coefficient | all ages | equal split
2018";"ghweal_999_j_2019
Net personal wealth
Total population | Gini coefficient | all ages | equal split
2019";"lpfghg_999_i_2009
Personal carbon footprint (all sectors)
Total population | Average per capita group emissions | all ages | individual |  | ppp | constant (2024)
2009";"lpfghg_999_i_2010
Personal carbon footprint (all sectors)
Total population | Average per capita group emissions | all ages | individual |  | ppp | constant (2024)
2010";"lpfghg_999_i_2011
Personal carbon footprint (all sectors)
Total population | Average per capita group emissions | all ages | individual |  | ppp | constant (2024)
2011";"lpfghg_999_i_2012
Personal carbon footprint (all sectors)
Total population | Average per capita group emissions | all ages | individual |  | ppp | constant (2024)
2012";"lpfghg_999_i_2013
Personal carbon footprint (all sectors)
Total population | Average per capita group emissions | all ages | individual |  | ppp | constant (2024)
2013";"lpfghg_999_i_2014
Personal carbon footprint (all sectors)
Total population | Average per capita group emissions | all ages | individual |  | ppp | constant (2024)
2014";"lpfghg_999_i_2015
Personal carbon footprint (all sectors)
Total population | Average per capita group emissions | all ages | individual |  | ppp | constant (2024)
2015";"lpfghg_999_i_2016
Personal carbon footprint (all sectors)
Total population | Average per capita group emissions | all ages | individual |  | ppp | constant (2024)
2016";"lpfghg_999_i_2017
Personal carbon footprint (all sectors)
Total population | Average per capita group emissions | all ages | individual |  | ppp | constant (2024)
2017";"lpfghg_999_i_2018
Personal carbon footprint (all sectors)
Total population | Average per capita group emissions | all ages | individual |  | ppp | constant (2024)
2018";"lpfghg_999_i_2019
Personal carbon footprint (all sectors)
Total population | Average per capita group emissions | all ages | individual |  | ppp | constant (2024)
2019"
 Afghanistan;pall;0.7355;0.7352000000000001;0.7344;0.7339;0.7343000000000001;0.7346;0.7349;0.7352000000000001;0.7356;0.7356;0.7356;0.86515588;0.9845776;1.113783;1.0326385;0.97296375;0.98697084;0.94557083;0.95734024;0.94645661;1.0601788;1.2188127
 Albania;pall;0.7255;0.7256;0.7264;0.7261000000000001;0.7277;0.7285;0.7281000000000001;0.7281000000000001;0.7284;0.7281000000000001;0.7277;3.336792;3.3241384;3.45962;3.3718438;3.4063902;3.6031692;3.3483212;3.2474666;3.677701;3.7045407;3.8276722
 Algeria;pall;0.7408;0.7399;0.7391000000000001;0.7457;0.7582;0.7582;0.7583000000000001;0.7584000000000001;0.7583000000000001;0.7589;0.7587;2.9689531;2.8296642;2.7506464;2.8574088;2.9688606;3.0381279;3.2414804;3.1357913;3.1113565;3.1771421;3.1959558
 Andorra;pall;0.7271000000000001;0.729;0.7288;0.728;0.7282000000000001;0.7289;0.7287;0.7291000000000001;0.7293000000000001;0.7292000000000001;0.7288;;;;;;;;;;;
 Angola;pall;0.7583000000000001;0.7623000000000001;0.7662;0.7699;0.775;0.7804;0.7938000000000001;0.8064;0.8112;0.8156;0.8156;3.1452138;2.7557003;2.5916548;2.559813;2.5390828;2.4275503;2.4051287;2.2618299;2.1265247;1.9096276;1.7359651
 Anguilla;pall;0.7749;0.7739;0.7709;0.7683;0.7667;0.7645000000000001;0.762;0.7598;0.7577;0.7561;0.7536;;;;;;;;;;;
 Antigua and Barbuda;pall;0.7749;0.7738;0.7709;0.7684000000000001;0.7667;0.7645000000000001;0.7621;0.7598;0.7577;0.7561;0.7537;;;;;;;;;;;
 Argentina;pall;0.7379;0.74;0.7376;0.7344;0.7353000000000001;0.7354;0.7385;0.743;0.7386;0.7394000000000001;0.7448;7.1626816;6.8489146;7.0303059;7.200386;7.3946509;7.3429351;7.488224;7.1642003;7.0938568;6.7652717;6.481329
 Armenia;pall;0.7311000000000001;0.7342000000000001;0.7323000000000001;0.7326;0.7329;0.7343000000000001;0.7353000000000001;0.7348;0.7392000000000001;0.7394000000000001;0.7346;3.2398787;3.1210105;3.2234304;3.4892564;3.4972682;3.4762385;3.3559406;3.2216787;3.3056145;3.6939137;3.5163138
 Aruba;pall;0.7748;0.7739;0.771;0.7684000000000001;0.7667;0.7646000000000001;0.7619;0.7598;0.7577;0.7562;0.7536;;;;;;;;;;;
 Australia;pall;0.729;0.7285;0.729;0.7295;0.7296;0.73;0.7289;0.7277;0.7291000000000001;0.7297;0.7291000000000001;23.394613;22.82114;23.081501;23.674374;22.15715;21.934267;21.790762;20.918657;20.825089;20.049002;19.571157
 Austria;pall;0.7944;0.795;0.7893;0.7841;0.7771;0.7719;0.7731;0.7703;0.7682;0.7696000000000001;0.7692;13.65459;14.238668;14.516625;13.78533;13.463492;13.013978;12.991562;12.959821;13.228541;12.862879;13.111225
 Azerbaijan;pall;0.7337;0.7329;0.7336;0.7342000000000001;0.7338;0.7338;0.7332000000000001;0.7323000000000001;0.7333000000000001;0.7333000000000001;0.7333000000000001;5.6806622;5.4418926;5.5751491;5.9151754;5.8857546;6.3262687;6.4313884;6.1440563;6.0206418;6.0282016;6.3405318
 Bahamas;pall;0.7837000000000001;0.783;0.7774000000000001;0.7723;0.7771;0.7712;0.7718;0.7725000000000001;0.7715000000000001;0.7736000000000001;0.7701;11.714485;11.388443;11.093563;10.824937;10.574324;10.331824;10.091002;9.8506794;9.6126518;9.3778067;9.1485434
 Bahrain;pall;0.7546;0.7612;0.7677;0.7752;0.7854;0.8076;0.8139000000000001;0.8139000000000001;0.8138000000000001;0.8138000000000001;0.8139000000000001;16.420622;15.90294;15.653143;15.601268;15.63048;15.589069;15.382084;14.992071;14.490127;13.96862;13.52494
 Bangladesh;pall;0.7393000000000001;0.7393000000000001;0.7388;0.7385;0.7383000000000001;0.7379;0.7373000000000001;0.7371000000000001;0.7371000000000001;0.7371000000000001;0.7371000000000001;0.76742262;0.81662071;0.84700739;0.86268747;0.91307002;0.93519384;0.96180344;0.97358215;1.0158737;1.071715;1.2641761
 Barbados;pall;0.7749;0.7739;0.771;0.7684000000000001;0.7666000000000001;0.7645000000000001;0.7621;0.7598;0.7576;0.7562;0.7537;;;;;;;;;;;
 Belarus;pall;0.7288;0.7281000000000001;0.7313000000000001;0.7288;0.7265;0.7274;0.7256;0.7262000000000001;0.7266;0.7265;0.7264;5.7784877;6.4508624;5.3880334;6.7701979;7.0676274;7.1428432;6.7374544;6.5172024;6.5151238;6.8663621;6.9345236
 Belgium;pall;0.6723;0.6728000000000001;0.6725;0.6633;0.6592;0.6632;0.6679;0.6696000000000001;0.6722;0.6732;0.6736000000000001;18.577312;19.734081;20.591938;18.592369;18.271502;17.745876;17.534996;16.887112;16.94899;17.361546;17.189602
 Belize;pall;0.7839;0.7999;0.7939;0.7904;0.7945;0.7713;0.7716000000000001;0.7727;0.7716000000000001;0.7737;0.7703;3.883481;3.8512964;3.8211355;3.7924757;3.7656453;3.740557;3.7174916;3.6963921;3.6770332;3.6590889;3.6419528
 Benin;pall;0.7627;0.7644000000000001;0.766;0.7692;0.7725000000000001;0.7771;0.7825000000000001;0.7677;0.757;0.7471;0.7436;1.5910292;1.5984658;1.7597022;1.5526099;1.5716927;1.5029022;1.516089;1.5828601;1.5882202;1.5664364;1.5713505
 Bermuda;pall;0.7441;0.7463000000000001;0.747;0.7473000000000001;0.7479;0.7482000000000001;0.7487;0.7493000000000001;0.7496;0.7506;0.751;;;;;;;;;;;
 Bhutan;pall;0.7425;0.7437;0.7439;0.7446;0.7425;0.7405;0.7393000000000001;0.738;0.7368;0.7368;0.7368;2.4959939;2.8842745;3.1895356;3.2550695;3.3204379;3.2958167;3.1449604;3.3619542;3.4352751;3.432451;3.5831766
 Bolivia;pall;0.7837000000000001;0.783;0.7776000000000001;0.7723;0.7773;0.7712;0.7717;0.7727;0.7716000000000001;0.7737;0.7703;4.5884385;4.5959177;4.6792293;4.8822961;5.0688972;5.1876245;5.3661776;5.7869053;5.9576836;6.0070405;5.9843683
 Bonaire, Sint Eustatius and Saba;pall;0.7749;0.7738;0.771;0.7683;0.7667;0.7644000000000001;0.7621;0.7597;0.7577;0.7562;0.7536;;;;;;;;;;;
 Bosnia and Herzegovina;pall;0.7272000000000001;0.7276;0.728;0.7281000000000001;0.7284;0.7281000000000001;0.7284;0.7283000000000001;0.7284;0.7282000000000001;0.7278;6.75213;6.7273474;7.2681427;6.9366703;6.8813334;7.4206777;7.2942977;7.62887;7.8979111;7.9908528;8.2468357
 Botswana;pall;0.8387;0.8376;0.8358;0.8337;0.8311000000000001;0.8272;0.8223;0.8223;0.8222;0.8222;0.8222;6.7277803;14.319114;14.719028;8.4263945;12.540804;12.267531;10.859768;11.279712;11.579566;11.440476;10.374357
 Brazil;pall;0.8201;0.8231;0.8262;0.8227;0.8182;0.8200000000000001;0.8252;0.8214;0.8183;0.8168000000000001;0.8123;4.4015455;4.8529277;5.0008945;5.0643077;5.1984553;5.3389311;5.0639691;4.8522248;4.8908391;4.6423812;4.5984726
 British Virgin Islands;pall;0.7749;0.7738;0.7709;0.7684000000000001;0.7666000000000001;0.7646000000000001;0.762;0.7599;0.7577;0.7562;0.7537;;;;;;;;;;;
